person_identifier,section_identifier,Status,first_name,Last Name,Email,Credits,Grade Option,Registered Date,BeginDate,End Date,Status Change Date,InitialCourseGrade,Final Course Grade,upm_affairs
afeder,Fall 2016 Session IACC141 - 1,Enrolled,Amy,Feder,afeder@campuslabs.com,,,,,,,,,Student Affairs
afeder,Fall 2016 Session IECO201 - 2,Enrolled,Amy,Feder,afeder@campuslabs.com,,,,,,,,,Research
afeder,Fall 2016 Session IIANT201 - 3,Enrolled,Amy,Feder,afeder@campuslabs.com,,,,,,,,,Administration and Finance
afeder,Fall 2016ACC249-3,Enrolled,Amy,Feder,afeder@campuslabs.com,,,,,,,,,Planning and Development
akarkal,Fall 2016 Session IACC141 - 3,Enrolled,Amaya,Karkal,akarkal@campuslabs.com,,,,,,,,,Extension Services
akarkal,Fall 2016 Session IIACC253 - 1,Enrolled,Amaya,Karkal,akarkal@campuslabs.com,,,,,,,,,Academic Affairs
akarkal,Fall 2016 Session IIECO202 - 1,Enrolled,Amaya,Karkal,akarkal@campuslabs.com,,,,,,,,,Student Affairs
akarkal,Fall 2016ANT340 - 2,Enrolled,Amaya,Karkal,akarkal@campuslabs.com,,,,,,,,,Planning and Development
alaske,Fall 2016 Session IACC141 - 3,Enrolled,Allison,Laske,alaske@campuslabs.com,,,,,,,,,
alaske,Fall 2016 Session IIACC253 - 1,Enrolled,Allison,Laske,alaske@campuslabs.com,,,,,,,,,
alaske,Fall 2016 Session IIECO202 - 2,Enrolled,Allison,Laske,alaske@campuslabs.com,,,,,,,,,
alaske,Fall 2016ANT340 - 3,Enrolled,Allison,Laske,alaske@campuslabs.com,,,,,,,,,
aodden,Fall 2016 Session IANT483 - 1,Enrolled,Aaron,Odden,aodden@campuslabs.com,,,,,,,,,
aodden,Fall 2016 Session IIACC253 - 2,Enrolled,Aaron,Odden,aodden@campuslabs.com,,,,,,,,,
aodden,Fall 2016 Session IIECO202 - 3,Enrolled,Aaron,Odden,aodden@campuslabs.com,,,,,,,,,
aodden,Fall 2016ECO321 - 1,Enrolled,Aaron,Odden,aodden@campuslabs.com,,,,,,,,,
